Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-07-15,SBIN,EQ,431.05,432.7,432.95,429.65,431.65,431.7,431.53,11030732,476010662420000.0,126999,3378724,0.3063
2021-07-16,SBIN,EQ,431.7,432.0,432.5,427.45,430.6,430.0,429.67,8713863,374406893680000.0,86998,2161111,0.24800000000000003
2021-07-19,SBIN,EQ,430.0,423.4,429.45,418.85,428.5,427.9,426.05,14426686,614655978455000.0,142972,4300410,0.2981
2021-07-20,SBIN,EQ,427.9,427.0,427.0,418.9,421.0,420.9,422.47,14623321,617788638765000.0,175334,4341360,0.2969
2021-07-22,SBIN,EQ,420.9,425.55,426.7,420.9,422.25,422.05,424.24,11799761,500598705625000.0,145497,3403902,0.28850000000000003
2021-07-23,SBIN,EQ,422.05,422.9,429.95,419.5,428.5,428.9,424.32,17704661,751247124840000.0,158647,4726281,0.267
2021-07-26,SBIN,EQ,428.9,427.8,427.8,422.3,422.85,423.3,424.32,14037519,595637424520000.0,153835,4170799,0.29710000000000003
2021-07-27,SBIN,EQ,423.3,424.15,433.25,424.0,429.2,429.95,430.0,24119619,1037148512440000.0,199224,8645999,0.35850000000000004
2021-07-28,SBIN,EQ,429.95,430.0,430.5,421.05,424.8,425.5,424.98,17636515,749513231075000.0,188398,5520335,0.313
2021-07-29,SBIN,EQ,425.5,426.0,443.6,425.5,443.1,441.55,435.48,35263606,1535664465820000.0,332592,13842353,0.3925
2021-07-30,SBIN,EQ,441.55,441.5,444.4,430.7,432.2,431.8,434.61,35196813,1529675775115000.0,285719,13700020,0.38920000000000005
2021-08-02,SBIN,EQ,431.8,434.75,436.7,431.8,434.35,434.9,434.63,16926025,735652253100000.0,175314,5795542,0.34240000000000004
2021-08-03,SBIN,EQ,434.9,434.95,447.9,433.6,446.0,446.5,441.77,40922962,1807855207550000.0,334983,16682268,0.40770000000000006
2021-08-04,SBIN,EQ,446.5,448.65,467.45,441.5,456.15,456.95,455.02,129761158,5904418453220000.0,897920,22874943,0.17629999999999998
2021-08-05,SBIN,EQ,456.95,461.0,462.5,438.4,441.95,441.85,447.34,58595639,2621226020640000.0,468281,16063331,0.2741
2021-08-06,SBIN,EQ,441.85,443.7,447.0,434.0,437.2,435.65,439.14,38236066,1679099558510000.0,310897,14611478,0.3821
2021-08-09,SBIN,EQ,435.65,437.9,441.8,431.0,433.9,433.4,436.36,22196404,968560214375000.0,205816,5439734,0.2451
2021-08-10,SBIN,EQ,433.4,434.4,436.4,421.7,426.25,426.45,428.74,27794251,1191651235560000.0,281618,9911985,0.3566
2021-08-11,SBIN,EQ,426.45,429.8,432.9,423.15,428.3,428.05,427.76,23827946,1019256747645000.1,224842,7236657,0.3037
2021-08-12,SBIN,EQ,428.05,430.0,430.45,425.0,427.6,427.15,427.18,16847144,719670078655000.0,172042,5848952,0.3472
2021-08-13,SBIN,EQ,427.15,427.6,432.25,425.0,430.75,431.2,428.35,20908992,895634821945000.1,212003,7550182,0.3611
2021-08-16,SBIN,EQ,431.2,430.0,434.0,424.0,424.2,424.85,427.58,17608693,752919270390000.0,191627,7042291,0.39990000000000003
2021-08-17,SBIN,EQ,424.85,424.85,425.85,415.25,420.95,421.5,420.55,22957877,965500839545000.1,258740,7034869,0.3064
2021-08-18,SBIN,EQ,421.5,422.15,424.35,418.0,418.9,419.7,421.3,17668574,744371791420000.0,265793,5045996,0.2856
2021-08-20,SBIN,EQ,419.7,415.0,417.35,405.15,406.0,406.7,411.06,25541790,1049926240729999.9,286336,9038684,0.3539
2021-08-23,SBIN,EQ,406.7,411.1,413.0,401.25,408.6,409.5,408.45,26559937,1084838426185000.0,229422,9962420,0.3751
2021-08-24,SBIN,EQ,409.5,409.5,418.75,408.2,417.05,417.6,415.09,19012313,789190652420000.0,233092,4487809,0.23600000000000002
2021-08-25,SBIN,EQ,417.6,419.0,421.3,414.3,416.15,416.25,417.37,16410980,684951130715000.0,170349,5024876,0.3062
2021-08-26,SBIN,EQ,416.25,414.5,415.8,410.0,410.35,410.75,412.61,15897679,655947349375000.0,153279,5637807,0.3546
2021-08-27,SBIN,EQ,410.75,410.35,414.35,407.5,411.5,412.45,411.43,15090541,620869659975000.0,162131,3886924,0.2576
2021-08-30,SBIN,EQ,412.45,414.4,423.3,413.5,422.9,422.7,419.59,20308691,852131262815000.0,161311,8549126,0.42100000000000004
2021-08-31,SBIN,EQ,422.7,423.85,427.0,418.7,425.6,426.05,423.86,26262421,1113171273700000.0,189725,11285270,0.42969999999999997
2021-09-01,SBIN,EQ,426.05,427.5,432.55,425.15,428.65,429.9,429.49,18776721,806441230675000.0,196144,5551117,0.2956
2021-09-02,SBIN,EQ,429.9,431.4,433.5,427.75,429.6,429.75,430.31,14372717,618475512285000.0,182837,3993454,0.2778
2021-09-03,SBIN,EQ,429.75,431.25,434.3,428.2,430.65,431.4,431.22,14233624,613780934835000.0,157635,4103799,0.2883
2021-09-06,SBIN,EQ,431.4,432.0,433.85,430.05,431.0,431.05,431.6,10694099,461561862614999.94,131557,4127180,0.3859
2021-09-07,SBIN,EQ,431.05,431.05,431.7,425.1,428.0,429.1,428.45,14928735,639623660845000.0,144265,5571033,0.37320000000000003
2021-09-08,SBIN,EQ,429.1,429.0,435.4,427.35,431.7,431.35,432.35,22817464,986512825954999.9,306026,9975593,0.4372
2021-09-09,SBIN,EQ,431.35,430.25,433.8,430.0,432.2,432.3,431.98,9662128,417380771290000.0,107886,3575944,0.3701
2021-09-13,SBIN,EQ,432.3,430.1,433.8,428.8,432.95,432.85,431.52,9567921,412878565645000.0,124293,3430248,0.35850000000000004
2021-09-14,SBIN,EQ,432.85,435.0,436.75,432.25,432.95,433.0,434.37,9981562,433566838845000.0,119218,4167481,0.4175
2021-09-15,SBIN,EQ,433.0,433.0,445.0,431.45,444.2,443.85,439.44,22181568,974755017800000.0,227051,8683362,0.3915
2021-09-16,SBIN,EQ,443.85,444.85,466.1,442.75,465.0,463.7,455.79,42637448,1943351148240000.2,389525,14981767,0.3514
2021-09-17,SBIN,EQ,463.7,468.0,471.9,450.35,453.25,454.1,459.32,41529478,1907545711255000.0,365811,14905679,0.3589
2021-09-20,SBIN,EQ,454.1,449.4,453.5,435.65,436.9,437.45,444.85,18376916,817490914345000.0,224634,5361436,0.2917
2021-09-21,SBIN,EQ,437.45,440.15,441.35,432.65,439.55,438.8,436.88,17279588,754907750620000.0,187042,5134035,0.29710000000000003
2021-09-22,SBIN,EQ,438.8,438.9,442.8,436.1,439.9,438.85,439.41,14321143,629286843520000.0,163766,5430263,0.37920000000000004
2021-09-23,SBIN,EQ,438.85,442.4,451.15,442.05,450.0,449.8,448.38,20516770,919921629270000.1,205927,8211883,0.40030000000000004
2021-09-24,SBIN,EQ,449.8,451.1,451.9,440.0,440.65,440.75,443.93,10731274,476397370900000.0,131592,2970394,0.2768
2021-09-27,SBIN,EQ,440.75,444.9,450.55,442.25,446.0,446.6,447.06,11746892,525157139070000.0,153034,3999470,0.34049999999999997
2021-09-28,SBIN,EQ,446.6,449.2,455.8,439.6,444.65,444.9,448.31,19241170,862603831815000.0,199169,5139742,0.2671
2021-09-29,SBIN,EQ,444.9,441.85,462.3,439.1,459.7,460.0,455.43,38635938,1759578181120000.0,276232,17529709,0.4537
2021-09-30,SBIN,EQ,460.0,459.95,464.9,451.4,453.0,453.0,456.78,26530369,1211842723450000.0,263399,9267354,0.3493
2021-10-01,SBIN,EQ,453.0,448.5,455.55,443.8,452.0,451.65,451.04,14777309,666510655620000.0,155872,4497093,0.3043
2021-10-04,SBIN,EQ,451.65,453.8,464.4,451.6,462.5,463.15,459.53,16246765,746581974915000.0,165717,6123342,0.3769
2021-10-05,SBIN,EQ,463.15,462.0,469.0,458.7,463.7,464.7,462.56,16487568,762653566860000.0,173621,6198603,0.376
2021-10-06,SBIN,EQ,464.7,465.0,471.0,453.65,456.85,457.2,462.34,19056690,881060927820000.1,212608,5674001,0.2977
2021-10-07,SBIN,EQ,457.2,462.1,464.0,457.1,458.8,457.9,460.4,9984651,459694503464999.94,125318,2461134,0.2465
2021-10-08,SBIN,EQ,457.9,461.9,464.0,454.25,460.05,458.0,458.23,16521128,757050602480000.0,203056,5292617,0.3204
2021-10-11,SBIN,EQ,458.0,460.0,474.95,458.65,470.0,469.25,467.63,20686981,967394145860000.0,216624,5870213,0.2838
2021-10-12,SBIN,EQ,469.25,470.0,484.4,468.1,483.0,483.0,477.21,33763609,1611247378315000.0,358816,10524930,0.31170000000000003
2021-10-13,SBIN,EQ,483.0,486.15,486.15,478.0,480.3,481.7,482.03,17638983,850256906460000.0,193982,6171965,0.34990000000000004
2021-10-14,SBIN,EQ,481.7,482.0,493.9,482.0,489.0,490.6,489.36,23431826,1146670042040000.0,285093,9203608,0.39280000000000004
2021-10-18,SBIN,EQ,490.6,494.0,501.0,491.7,496.95,497.95,496.52,20084248,997224813100000.0,242361,6957051,0.3464
2021-10-19,SBIN,EQ,497.95,500.35,504.2,483.25,488.7,488.2,496.47,20645100,1024960394075000.0,222035,6902634,0.3343
2021-10-20,SBIN,EQ,488.2,488.8,507.5,483.1,501.2,499.9,499.79,34080545,1703327363745000.0,330756,9918562,0.29100000000000004
2021-10-21,SBIN,EQ,499.9,504.9,506.5,491.75,504.45,502.95,500.34,20808243,1041125799150000.0,237992,5557708,0.2671
2021-10-22,SBIN,EQ,502.95,504.6,508.7,500.0,502.5,502.95,504.16,24080485,1214035694925000.0,226890,9118838,0.3787
2021-10-25,SBIN,EQ,502.95,506.5,515.45,497.85,507.1,506.5,508.7,35619415,1811942593015000.2,383621,14744285,0.4139
2021-10-26,SBIN,EQ,506.5,507.6,518.2,507.6,512.75,512.55,513.42,21107457,1083707901110000.0,233424,6845791,0.3243
2021-10-27,SBIN,EQ,512.55,513.7,526.85,512.75,518.0,519.15,521.13,29463032,1535399056730000.0,301253,10494169,0.35619999999999996
2021-10-28,SBIN,EQ,519.15,519.6,520.55,497.6,503.7,501.35,508.7,28140401,1431495750035000.0,260970,11285902,0.4011
2021-10-29,SBIN,EQ,501.35,501.5,512.65,488.4,504.0,502.15,502.7,31355893,1576255597195000.0,374125,10689375,0.34090000000000004
2021-11-01,SBIN,EQ,502.15,508.5,516.95,501.0,515.3,515.7,509.46,20679604,1053544017985000.0,232409,7903086,0.3822
2021-11-02,SBIN,EQ,515.7,514.8,525.0,512.05,522.0,521.7,519.23,26797820,1391428575445000.0,292700,8002712,0.2986
2021-11-03,SBIN,EQ,521.7,524.0,542.3,515.2,530.9,527.65,529.74,80775924,4278990638630000.5,664904,11296532,0.1399
2021-11-04,SBIN,EQ,527.65,531.5,535.9,528.05,530.8,530.45,532.2,9796046,521346058980000.0,154034,3458640,0.3531
2021-11-08,SBIN,EQ,530.45,534.45,534.45,516.45,523.6,523.25,524.29,36802110,1929492306355000.0,434185,13809608,0.37520000000000003
2021-11-09,SBIN,EQ,523.25,526.25,532.0,522.2,529.0,529.15,528.31,25451967,1344660328585000.0,263483,10868864,0.42700000000000005
2021-11-10,SBIN,EQ,529.15,525.55,528.5,521.5,523.7,524.4,524.92,15805538,829666043905000.0,233636,6661421,0.4215
2021-11-11,SBIN,EQ,524.4,522.85,522.85,507.1,509.9,509.6,513.93,23086898,1186494788635000.0,404691,8852924,0.3835
2021-11-12,SBIN,EQ,509.6,512.0,513.0,502.7,510.95,511.35,509.0,19836221,1009668524065000.0,259734,8187869,0.4128
2021-11-15,SBIN,EQ,511.35,512.4,515.9,505.5,507.4,506.55,509.14,13328183,678590098010000.0,186098,4698458,0.3525
2021-11-16,SBIN,EQ,506.55,507.4,507.4,493.5,494.25,495.1,499.96,19553216,977587978700000.0,292914,7277609,0.3722
2021-11-17,SBIN,EQ,495.1,493.85,505.4,491.0,497.6,498.15,500.32,20488483,1025083719129999.9,275972,6509080,0.3177
2021-11-18,SBIN,EQ,498.15,499.1,506.2,492.3,503.35,503.8,500.73,22471070,1125191223640000.0,276780,5423193,0.2413
2021-11-22,SBIN,EQ,503.8,506.0,506.0,477.5,487.0,486.4,489.05,28800269,1408476658735000.0,383770,10288095,0.3572
2021-11-23,SBIN,EQ,486.4,485.25,495.4,480.0,492.8,493.05,490.18,20000371,980375852229999.9,232054,5953569,0.2977
2021-11-24,SBIN,EQ,493.05,495.8,500.0,489.05,490.0,493.15,496.27,13963769,692979118060000.0,194560,4485951,0.32130000000000003
2021-11-25,SBIN,EQ,493.15,490.0,495.45,486.3,492.0,490.55,491.77,12894211,634092615595000.0,160207,3660492,0.2839
2021-11-26,SBIN,EQ,490.55,486.25,487.9,467.1,470.0,470.5,475.02,26305817,1249565902125000.0,379366,11254640,0.4278
2021-11-29,SBIN,EQ,470.5,470.0,477.75,454.3,466.2,465.1,467.79,22407465,1048194219590000.0,310952,5587894,0.2494
2021-11-30,SBIN,EQ,465.1,468.0,477.25,458.0,459.1,460.55,467.26,23026652,1075951205110000.0,283930,7607689,0.33039999999999997
2021-12-01,SBIN,EQ,460.55,464.45,477.25,464.0,475.9,475.3,470.57,17156956,807347443145000.0,192988,4405161,0.25680000000000003
2021-12-02,SBIN,EQ,475.3,474.5,478.15,470.95,477.6,477.0,474.72,12962679,615358348270000.0,189218,3824707,0.29510000000000003
2021-12-03,SBIN,EQ,477.0,475.75,481.5,470.05,471.95,473.15,475.9,16653993,792562841265000.0,198060,5089665,0.3056
2021-12-06,SBIN,EQ,473.15,473.15,477.0,463.8,464.95,465.3,470.81,14353300,675764221995000.0,187905,5142334,0.3583
2021-12-07,SBIN,EQ,465.3,469.2,479.7,469.2,476.85,476.7,475.06,13644942,648218941135000.0,179255,3479596,0.255
2021-12-08,SBIN,EQ,476.7,480.9,492.4,480.25,490.6,491.55,487.45,20397660,994286518629999.9,237922,7479972,0.3667
2021-12-09,SBIN,EQ,491.55,492.3,493.5,486.1,487.8,488.65,489.02,12560970,614256035610000.0,159836,3304118,0.263
2021-12-10,SBIN,EQ,488.65,488.5,495.95,484.4,494.8,494.7,489.64,13261408,649337528300000.0,148459,4228388,0.3188
2021-12-13,SBIN,EQ,494.7,497.75,500.45,486.35,488.5,487.8,493.46,14047645,693194761000000.0,207621,5508506,0.3921
